Month,articleID,abstract,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,Month,source,typeOfMaterial,webURL,articleWordCount
Jan-17,5872e09795d0e039260799c4,,By PETER E. ROSENBLATT,article,A Secret Squadron Agent at the Pushcart,"['Gifts', 'Upper West Side (Manhattan, NY)']",0,Metro,18,1/9/17 1:00,Jan-17,The New York Times,Brief,https://www.nytimes.com/2017/01/08/nyregion/metropolitan-diary-a-secret-squadron-agent-at-the-pushcart.html,313
Jan-17,5872e12d95d0e039260799c5,,By THE EDITORIAL BOARD,article,"What Are You Hiding, Jeff Sessions?","['Sessions, Jefferson B III', 'Senate Committee on the Judiciary', 'Trump, Donald J', 'Republican Party', 'Democratic Party', 'Justice Department', 'United States Politics and Government']",1,Editorial,16,1/9/17 1:02,Jan-17,The New York Times,Editorial,https://www.nytimes.com/2017/01/08/opinion/what-are-you-hiding-jeff-sessions.html,708
Jan-17,5872ec2395d0e039260799db,,By JIM RUTENBERG,article,"For Assange, a 10-Year Vision of Toppling Power Is a Reality","['Classified Information and State Secrets', 'Assange, Julian P', 'WikiLeaks', 'Democratic National Committee', 'Democratic Party', 'Presidential Election of 2016', 'Putin, Vladimir V', 'Trump, Donald J', 'Clinton, Hillary Rodham', 'Russia']",1,Business,1,1/9/17 1:49,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/08/business/media/assange-wikileaks-dnc-hacks.html,1466
Jan-17,5872f55e95d0e039260799e8,,By MICHAEL R. GORDON and ERIC SCHMITT,article,Strikes by Russia  Buttress Turkey  in Battle vs. ISIS,"['Russia', 'Turkey', 'Syria', 'Defense and Military Forces', 'Erdogan, Recep Tayyip', 'Putin, Vladimir V', 'Islamic State in Iraq and Syria (ISIS)', 'Assad, Bashar al-']",1,Foreign,1,1/9/17 2:28,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/08/us/politics/russia-turkey-syria-airstrikes-isis.html,1277
Jan-17,5872fcb695d0e039260799f2,,By BEN BRANTLEY,article,You Only Turn 40 One Time,"['Theater', 'The Present (Play)', 'Sydney Theater Co', 'Blanchett, Cate', 'Barrymore, Ethel, Theater', 'Chekhov, Anton', 'Crowley, John', 'Roxburgh, Richard (1962- )']",1,Culture,1,1/9/17 3:00,Jan-17,The New York Times,Review,https://www.nytimes.com/2017/01/08/theater/review-the-present-cate-blanchett-barrymore-theater.html,1031
Jan-17,58730b0495d0e03926079a00,,By MIKE HALE,article,"‘The Affair’ Season 3, Episode 7: There’s a Monster in the Basement","['Television', 'The Affair (TV Program)']",1,Culture,0,1/9/17 4:01,Jan-17,The New York Times,Review,https://www.nytimes.com/2017/01/08/arts/television/the-affair-season-3-episode-7-recap.html,954
Jan-17,58730d4c95d0e03926079a04,,By PAT BORZI,article,"When a Beast Awakens, the Giants Go Into Hibernation","['Football', 'Playoff Games', 'Green Bay Packers', 'New York Giants']",1,Sports,1,1/9/17 4:10,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/08/sports/football/green-bay-packers-new-york-giants-playoffs.html,1105
Jan-17,587347f695d0e03926079a72,,By PAUL KRUGMAN,article,Deficits  Matter  Again,"['United States Economy', 'Federal Budget (US)', 'National Debt (US)', 'Ryan, Paul D Jr', 'Trump, Donald J']",1,OpEd,17,1/9/17 8:21,Jan-17,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/09/opinion/deficits-matter-again.html,783
Jan-17,587347f895d0e03926079a75,,By NATASHA LENNARD and CARY WOLFE,article,Is Humanism Really Humane?,"['Philosophy', 'Ethics (Personal)', 'Secular Humanism']",1,OpEd,0,1/9/17 8:21,Jan-17,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/09/opinion/is-humanism-really-humane.html,2125
Jan-17,586f537795d0e0392607948b,,By TIMOTHY EGAN,article,Erasing President Obama,"['United States Politics and Government', 'Presidents and Presidency (US)', 'Obama, Barack', 'Trump, Donald J']",1,OpEd,19,1/6/17 8:21,Jan-17,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/06/opinion/erasing-obama.html,849
